"Translation Info:
#---------------------------
2173,18,33,"Oyruun lamaanuu firii isaanii odoo homaa hin hirdhisin kennite; gidduu isaaniitii laga maddisiifne (san fakkeenya godhiif)",""
2174,18,34,"Isaaf midhaan godhatee hiriyaa isaatiin odoo itti haasa’uu “Anatu qabeenyaan si caala; gosaanis sirra jabaadha” jedheen.",""
2175,18,35,"Haala lubbuu isaa miidhaa ta’een oyruu isaa seenee ni jedhe: “Isiin kun gonkumaa ni baddii hin yaadu.",""
2176,18,36,"Qiyaamaanis ni dhaabbattii hin yaaduDhugumatti, yoon gara Gooftaa kiyyaa deebifameef, iddoo deebii kan isa caaluun argadha.”",""
2177,18,37,"Hiriyyaan isaas kan isaan haasa’u ta’ee ni jedhe: “Sila ati Isa biyyee irraa, ergasii bishaan saalaa irraa si uumee, ergasii nama guutuu si godhetti kafartee?",""
2178,18,38,"Ani garuu Inni, Allaah’n Gooftaa kiyya; ani Gooftaa kiyyatti tokkollee hin dabalu",""
2179,18,39,"Yeroo oyruu kee seentu “waan Rabbiin fedhetu (ta’a); Rabbiin malee humni (naaf) hin jiru” maaliif jechuu dhiifte! Yoo ana horiifi ilmaaniiniis sirra xiqqaa ta’uu na agartes;",""
2180,18,40,"Gooftaan kiyya waan oyruu kee irra caalu naaf kennee, ishee (kee) irratti immoo samii irraa adabbii buusee, dirree duwwaa ta’uun ishee ni mala",""
2181,18,41,"Yookiin bishaan ishee gadi lixaa taanaan ati isa barbaaduu dadhabuun (ni mala).”",""
2182,18,42,"Midhaan isaattis ni marfame (ni bade)Innis odoo isheen mogolee (jirma) ishee irratti kukkuftee jirtuu, ganaa (shanacha) isaa lamaan gara gaggalchaa “yaa gaabbii koo! Odoon Gooftaa kiyyatti waa tokko dabaluu baadhee” jechuutti seene",""
2183,18,43,"Gareen Rabbii gaditti isa tumsitus isaaf hin jirtuInnis tumsamaa hin taane.",""
2184,18,44,"Achittiis (Qiyaamaas) mootummaan kan Rabbii haqa ta’eetiInni mindeessuutti Isumatu caala; boodattis Isumatu caalaadha.",""
2185,18,45,"Fakkeenya jiruu addunyaa akka bishaan samii irraa buufnee, biqiltuuwwan dachii isatti makamanii, goggogaa caccabaa bubbeen isa faffacaaftu ta’een godhiifiRabbiin waan hunda irratti danda’aa ta’eera",""
2186,18,46,"Qabeenyiifi ilmaan faaya jirreenya addunyaatiGaggaarii haftuu taatetu Gooftaa kee biratti mindaadhaan irra caala; gama abdiittis irra caalaadha.",""
2187,18,47,"Guyyaa Nuti gaarreen deemsifnee dachiis dirree ta’uu argitee, isaanis walitti qabnu [yaadadhu]Isaan irraas tokkollee hin hanbifnu",""
2188,18,48,"Hiriiroo godhamanii Gooftaa kee irra fidaman; “dhugumatti, akka yeroo jalqabaa isin uumnetti nutti dhuftanNuti waadaa isiniif godhuu dhabuu yaaddu turtan” (jedhaman).",""
2189,18,49,"Galmeenis kaa’amee, yoma san badii raawwattoota waan isa keessa jiru irraa sodaatoo ta’anii isaan agartaNi jedhus: “Yaa badii keenya! Kitaabni kun kan xiqqoofi guddoos ishee walitti qabu malee hin dhiifne maaluma!” Waan hojjatan dhiyaataa ta’ee arguGooftaan kee tokkollee hin miidhu.",""
2190,18,50,"Yeroo maleeykotaan “Aadamiif sujuuda godhaa” jennes [yaadadhu]Ibliis jinnii irraa ta’ee ajaja Gooftaa isaa irraa fincile malee sujuuda godhanSila isaan isiniif diinoota odoo ta’anii jiranuu, Ana dhiiftanii isaafi sanyii isaa jaalallee godhattuu? (Ibliis) miidhaa raawwattootaaf jijjiirraa ta’uun akkaan fokkate!",""
2191,18,51,"Ani uumaminsa samii, dachiifi uumaminsa lubbuu isaanii irrattis isaan hin hirmaachifneAni jallistootas gargaartota godhataa hin taane.",""
2192,18,52,"Guyyaa Inni “(warra) hiriyyoota Kiyya akka ta’an dubbattan san waamaa” jedhus [yaadadhu]Isaanis ni waamanii, garuu isaaniif hin owwaatanNutis gidduu isaaniitti hallayyaa (jahannam) taasifna.",""
2193,18,53,"Yakkamtoonni ibidda ni arganIshee keessa bu’oo ta’uu isaanii yaadaniKaraa ishee jalaa ittiin ba’anis hin argatan.",""
2194,18,54,"Nuti dhugumatti Qur’aana kana keessatti fakkeenyota hunda irra deddeebinee (namootaaf) ibsinee jirraNamnis waan hunda irra falmii baay’isaa ta’eera.",""
2195,18,55,"Namoota yeroo qajeelumni isaanitti dhufe amanuufi Gooftaa isaanii araara kadhachuu irraa wanti isaan dhorge karaan (dhumiinsi) warra durii isaanitti dhufuu yookiin adabbiin fuulduraa isaanitti dhufuu (eeguu) malee homaa hin jiru",""
2196,18,56,"Nuti ergamtootas gammachiiftotaafi dinniintoota goonee malee hin erginuWarri kafaran sobaan haqa deemsisuuf isaan falmu; keeyyattoota kiyyaafi waan dinniinamanis qishnaa godhatan.",""
2197,18,57,"Nama keeyyattoota Gooftaa isaatiin yaadachiifamee ergasii ishee irraa garagaluufi waan harki isaa lamaan dabarfatte dagate caalaa namni miidhaa hojjate eenyu? Nuti dhugumatti akka isaan isa (Qur’aana) hin hubanne onnee isaanii irratti qadaaddaafi gurra isaanii keessattis duudiinsa taasifnee jirraYoo gara qajeellumaa isaan waamtes, isaan yoo san gonkumaa hin qajeelan.",""
2198,18,58,"Gooftaan keetis akkaan araaramaa, abbaa rahmataatiOdoo waan isaan hojjataniin isaan qabee, silaa dhugumatti, adabbii isaaniif jerjersa tureGaruu isaaniif waadaa isa malee garri itti deebi’an hin jirre qabu.",""
2199,18,59,")Warra) magaalotaa sanis sababaa isaan miidhaa hojjatan isaan balleessineYeroo isaan itti balleeffamanuufis beellama murtaa’aa taasifneerra.",""
2200,18,60,"Yeroo Muusaan dargaggoo isaatiin “hangan iddoo galaanni lamaan itti wal qunnaman ga’utti yookiin deemsa irratti waggoota (hedduu) fixutti (deemuu) hin dhiisu” jedhe [yaadadhu]",""
2201,18,61,"Yeroma isaan lamaan iddoo wal ga’iinsa galaana lamaanii ga’an, qurxummii isaanii ni dagatanInnis (qurxummiin) karaa isaa galaana keessa baqaqaa godhate.",""
2202,18,62,"Yeroma isaan lamaan (iddoo san) qaxxaamuran, (Muusaan) dargaggicha isaatiin ni jedhe: “Laaqana keenya nuuf fidiDhugumatti, nuti imala keenya kana irraa dadhabbii guddaa qunnamnee jirra.”",""
2203,18,63,")Innis) ni jedhe: “Argitee? Sila yeroo nuti gara dhagaa hirkanne, dhugumatti, ani qurxummii irraanfadheeraWanti akka isa hin yaadanne na irraanfachiises sheyxaana malee hin jiruInnis karaa isaa galaana keessa dinqisiisaa godhate.”",""
2204,18,64,")Muusaan) ni jedhe: “Sun waan nuti barbaadaa turreedha.” Faana isaanii irras hordafaa gara duubaa deebi’an.",""
2205,18,65,"Gabricha gabroota keenya irraa ta’e, kan Nuti of biraa rahmata isaaf kennineefi beekumsa Nurraa ta’e isa barsiifne wahii argan.",""
2206,18,66,"Muusaanis isaan “sila waan barsiifamte kan qajeelaa ta’e irraa akka na barsiiftuuf si hordofuu danda’aa?” jedhe",""
2207,18,67,")Namichis) ni jedhe: “Dhugumatti, ati ana wajjiin obsuudhaaf hin dandeessu",""
2208,18,68,"Sila waan beekumsa isaa hin qabnee irratti akkamitti obsita?”",""
2209,18,69,")Muusaanis) “Yoo Rabbiin fedhe obsaa ta’uu na argitaAjaja keetis hin didu” jedhe",""
2210,18,70,")Namichis) yoo na hordofte, waan tokkoyyuu hanga ani waa’ee isaa siif himutti homaa irraa na hin gaafatin” jedheen",""
2211,18,71,"Isaan lamaanuu hanga doonii tokko keessa yaabbatanitti ni deemanInnis (namichis) ishee ure(Muusaanis) ni jedhe: “Sila namoota ishee keessa jiran bishaan nyaachisuuf ishee urtee? Dhugumatti, ati waan guddaa fidde!”",""
2212,18,72,")Namichis) ni jedhe: “Sila ani dhugumatti, ati ana wajjiin obsuudhaaf hin dandeessu siin hin jennee?”",""
2213,18,73,"(Muusaanis) ni jedhe: “Waanan irraanfadheef na hin qabinDhimma kiyya irraas rakkoo na hin baachisin.”",""
2214,18,74,"Hanga mucaa tokkotti dhufanitti deemanii achumaan isa (mucicha) ajjeese(Muusaanis) “Sila ati lubbuu qulqulluu lubbuu (ajjeesuun) ala ajjeeftaa? Dhugumatti, ati waan fokkataa hojjatteetta” jedhe.",""
2215,18,75,"(Namichis) ni jedhe: “Sila ani dhugumatti, ati ana wajjiin obsuudhaaf hin dandeessu siin hin jennee?”",""
2216,18,76,")Muusaanis) ni jedhe: “Yoon ishee kana booda waan tokko irraas si gaafadhe, natti hin miiltomiin (natti hin shariikin)Dhugumatti, ana biraa dhiifama dhumaa irra geessee jirta.”",""
2217,18,77,"Ergasii isaan lamaan hanga warra magaalattii tokkoo bira dhufanii, jiraattota ishee nyaata gaafannaan, isaan keessummeessuu didanitti deemanErgasii dhaaba mana jiguu fedhuu tokko arganii, (namichi) ol kaasee isa dhaabe(Muusaanis): “Odoo feetee isa irratti mindaa fudhachuu ni dandeessa” jedhe.",""
2218,18,78,")Namichis) ni jedhe: “Kun addaan ba’iinsa gidduu kiyyaafi gidduu keetiitiAni hiikkaa wantoota ati irratti obsuu dadhabdee sittiin hima.",""
2219,18,79,"Doonittiin qabeenya namoota hiyyeeyyii galaana keessa dalaganii turteWaan isaan fuula duratti mootiin dooniwwan (fayyaa) hunda saamee fudhatu tokko jiruufin ishee irratti hirdhina uumuu fedhe.",""
2220,18,80,"Mucichi immoo, haadhaafi abbaan isaa mu’uminootaNutis (yoo guddate) jallinaafi kufriidhaan isaan haguuguu sodaanne.",""
2221,18,81,"Gooftaan isaanii (ilma) qulqullinaan isa irra caaluufi rahmatattis irra dhihoo ta’e bakka isaaniif buusu feene.",""
2222,18,82,"Dhaabni manichaa immoo kan ijoollee yatiimota ta’an lama magaalattii keessa jiraataniiti tureIsa jala immoo qabeenya awwaalame kan isaan lamaaniitu jiraAbbaan isaanii nama gaarii tureGooftaan keetis (ijoollen lamaan) umrii ciminaa irra ga’anii qabeenya isaanii kan lafa jalatti awwaalame rahmata Gooftaa kee irraa ta’een akka baafatan fedheAnis kana (hunda) fedha kiyya irraa ka’ee hin hojjanneKun hiikkaa wantoota ati irratti obsuu dadhabdeeti.”",""
2223,18,83,"Zulqarnayni irraas si gaafatu“Ani isa irraa oduun isin irratti dubbisuuf jira” jedhi.",""
2224,18,84,"Dhugumatti, Nuti dachii keessatti isaaf mijeessinee jirraWaan hunda irraas tooftaa isaaf kennine.",""
2225,18,85,"Innis karaa deeme",""
2226,18,86,"Yeroma iddoo lixa aduu ga’u, isheedhaa galaana dhoqqee gurraacha qabdu keessaan lixxuu argeIshee birattis ummata wahii argeNuti ni jenneeni: “Yaa Zulqarnayn! Ati isaan adabuu yookiin isaan keessatti toltuu hojjachuu (filannoo qabda).”",""
2227,18,87,"Inni ni jedhe: “Nama miidhaa hojjate nuti fuulduratti isa adabnaErgasii gara Gooftaa isaa deebifamee Innis adabbii hamaa ta’e isa adabuuf jira.",""
2228,18,88,"Nama amanee, gaariis hojjate immoo, isaaf mindaa gaarii ta’etu jiraNutis ajaja keenya irraa laafaatti isa ajajuuf jirra.”",""
2229,18,89,"Sana booda karaa hordofe.",""
2230,18,90,"Yeroma iddoo baha biiftuu ga’e, isheedhaa ummata ishee irraa golgaa Nuti isaaniif hin taasisin irratti baatu arge.",""
2231,18,91,")Dubbichi) akka kanaWantoota isa bira jiran dhugumatti, beekumsaan marsineerra.",""
2232,18,92,"Ergasii karaa (kaabaa) hordofe.",""
2233,18,93,"Yeroma gidduu gaara lamaanii ga’e, isaan lamaanii asitti ummata haasa’a beekuutti hin dhihaanne arge.",""
2234,18,94,")Isaanis) “Yaa Zalqarnayn! Dhugumatti, Ya’ajuujiifi Ma’ajuuj dachii keessatti badii hojjatoodhaNuufi isaan giddutti cufaa godhuu irratti baasii siif goonuu?” jedhan",""
2235,18,95,")Innis) ni jedhe: “Waan Gooftaan kiyya isa keessatti naaf mijeessetu caalaGidduu keessaniifi isaaniitti cufaa nan godhaa, humnaan na gargaaraa.",""
2236,18,96,"Muraa Sibiilaa naaf kennaa.” Yeroo iddoo gaara lamaan gidduu jiru guutu “afuufaa” jedheYeroo ibidda (diimaa) isa godhus “sibiila baqe isa irrattin dhangalaasa naa fidaa” jedhe",""
2237,18,97,")Ya’ajuujifi Ma’ajuuj) isa irra koruu hin dandeenye; jalaanis isa uruu hin dandeenye.",""
2238,18,98,")Zulqarnayn) ni jedhe: “Kun rahmata Gooftaa kiyya irraa ta’eYeroo waadaan Gooftaa kiyyaa dhufe, Inni bittinnaa’aa isa godhaWaadaan Gooftaa kiyyaa dhugaa ta’eera.”",""
2239,18,99,"Guyyaa (Ya’ajuujifi Ma’ajuuj dhufan) san garii isaanii garii keessa kan dhangala’u taasifnee dhiifnaGarriinis (xurumbaanis) ni afuufamaa (uumama hunda) guutumatti walitti isaan qabna.",""
2240,18,100,"Guyyaa san jahannamiin kaafirootaaf dhiyeessuu dhiheessina.",""
2241,18,101,"(Isaan) warra ijji isaanii yaadannoo kiyya (Qur’aana) irraa haguuggaa keessa turanii, (isa) dhaga’uu hin dandeenyeedha.",""
2242,18,102,"Sila warri kafaran gabroota kiyya Anaa gaditti gabbaramtoota godhachuu yaaduu? Dhugumatti, Nuti jahannamiin kaafirootaf iddoo simannaatiif qopheessineerra.",""
2243,18,103,"”Sila warra hojiin isaanii akkaan honga’oo ta’an isiniif himnuu?” jedhi.",""
2244,18,104,"Isaan warra odoo dalagaa tolchinee hojjannaa yaadanuu adunyaa keessatti hojiin isaanii duraa badeedha.",""
2245,18,105,"Isaan sun warra keeyyattoota Gooftaa isaanitiifi wal qunnamtii Isaatti kafaranii dalagaan isaanii baddeedhaKanaafuu Guyyaa Qiyaamaa madaala isaaniif hin dhaabnu.",""
2246,18,106,"Isaan sun waan kafaranii keeyyattoota kiyyaafi ergamtoota kiyyas qishnaa godhataniif galanni isaanii jahannami.",""
2247,18,107,"Dhugumatti, isaan amananii, gaggaarii hojjatan, Jannanni Firdaws iddoo simannaa isaaniif taatee jirti.",""
2248,18,108,"Ishee keessa yeroo hunda jiraatuIshee irraa jijjiiramuu hin barbaadan.",""
2249,18,109,"Jedhi: “Odoo galaanni qalama jechoonni Gooftaa kiyyaa (ittiin barraa’u) ta’ee, silaa odoo jechoonni Gooftaa kiyyaa hin dhumne galaanni dhuma ture; odoma (galaanni biraa) kan isa fakkaatu gargaarsaan finneeyyuu (galaanatu dhuma ture).”",""
2250,18,110,"Jedhi: “Ani namuma akka keessanii kan haqaan gabbaramaan keessan gabaramaa tokkicha qofa ta’uu wahyiin gara kiyyatti godhamuudhaKanaaf namni Gooftaa isaatiin wal ga’uu sodaatu (kajeelu) dalagaa gaarii haa hojjatu; Gooftaa isaa gabbaruu keessattis eenyunillee hin qindeessin.”",""
2251,19,1,"Kaaf Haa Yaa Ayn Saade",""
2252,19,2,"(Kun) rahmata gooftaan kee Gabricha Isaa Zakariyyaaf (godhe) dubbachuudha.",""
2253,19,3,"Yeroo inni Rabbii Isaa waamicha dhoksaa waame (dubbadhu)",""
2254,19,4,"“Rabbii kiyya! Ani lafeen kiyya laafte; mataan kiyyas Arrii makatee; Rabbii kiyya ani kadhaa keetiin hoonga’aa hin taane” jedhe.",""
2255,19,5,"“Ani booda kootii firoota kiyya sodaadheen jiraNiitiin kiyyas maseentuudhaSuma biraa ilma naaf kenni.",""
2256,19,6,"“Kan ana (amantii kiyya) dhaaluufi kan sanyii Ya’aquub irraas dhaaluYaa Gooftaa kiyya! Jaallatamaas isa taasisi.”",""
2257,19,7,"(Rabbiin ni jedhe): “Yaa Zakariyyaa! Dhugumatti, Nuti ilma maqaan isaa Yahyaa ta’e, kan kana dura maqaa isaa eenyuufillee hin taasisiniin si gammachiifna.”",""
2258,19,8,"(Zakariyyaan) ni jedhe: “(Yaa) Rabbii kiyya! Odoo haati manaa koo maseena taatee jirtuu, anis dulluma irraa hoonga ga’ee jiruu akkamitti ilmi naaf ta’uu danda?”",""
2259,19,9,"Ni jedhe: “Dhimmichi akkuma kanaRabbiin kee ‘Kun anaaf laafaadhaDhugumatti, ani kana dura si’ii homaa hin turin si uumeen jira’ jedhe.”",""
2260,19,10,"(Zakariyyaanis) ni jedhe: “(Yaa) Rabbii kiyya! Mallattoo wahii naaf godhi.” (Rabbiinis) ni jedhe: “Mallattoon kee halkan sadihiif odoo fayyaa qabduu (Zikrii malee) nama dubbisuu dhabuudha.”",""
2261,19,11,"Ergasii iddoo sagadaa keessaa ummata isaa irratti gadi ba’ee, ganamaafi galgala Rabbiin qulqulleessuu mallattoon itti beeksise",""
2262,19,12,"“Yaa Yahyaa! Kitaabicha ciminaan qabadhu” (jenneen)Beekumsas ijoollummaan isaaf kennine.",""
2263,19,13,"Mararfannaa Nu biraa ta’eefi qulqullinas (isaaf kenninee jirra)Innis (Rabbiin) sodaataa ta’eera.",""
2264,19,14,"Haadhaafi abbaa isaatiifis tola oolaa ta’eeraOf tuulaa, didaas hin taane",""
2265,19,15,"Nageenyis guyyaa inni dhalate, guyyaa inni du’uufi guyyaa inni lubbuun kaafamus isa irra haa jiraatu.",""
2266,19,16,"Kitaabicha (Qur’aana) keessatti Maryamiinis yeroo maatii ishee irraa iddoo gara bahaatti achi baate dubbadhu",""
2267,19,17,"Isaan irraa haguuggaa godhattee, ergamaa keenya (Jibriiliin) gara isiitti eregineInnis namuma (uumaan isaa) guutuu isiitti fakkaate.",""
2268,19,18,"Ni jette: “Yoo kan (Rabbiin) sodaattu taateef dhugumatti, ani Rahmaaniinin si irraa tikfama.”",""
2269,19,19,"(Jibriilis): “Ani ergamaa Rabbii keetiiti; akkan ilma qulqulluu siif kennuuf (Rabbiin na erge)” jedheen",""
2270,19,20,"Ni jette: “Odoo namni tokko ana hin tuqin; sagaagaltuus odoon hin ta’in akkamitti ilmi naaf ta’uu danda’a?”",""
2271,19,21,"Innis ni jedhe: “Dhimmichi akkuma kanaGooftaan keetis ‘kuni natti laafaadha; Namootaafis raajiifi rahmata Nu irraa ta’es akka isa taasifnuufi” jedhe(Kun) dhimma dura murtaa’e ta’eera",""
2272,19,22,"Yoosuu isa ulfoofte; kophaa ishee gara bakka fagoo isaan deemte.",""
2273,19,23,"Ciniinsuun gara gufuu timiraa ishee maqseNi jette: “Yaa badii kiyya! Odoo kana dura du’ee, wan dagatamaa ta’ee maal qaba!”",""
2274,19,24,"“Hin gaddin; dhugumatti, Gooftaan kee jala keetti laga xiqqoo taasiseera” jechuun ishee jalaa isheetti lallabe.",""
2275,19,25,"“Gufuu timiraa gara keetti hurgufi; asheeta timira bilchaataa ta’e sirratti harcaafti",""
2276,19,26,"Nyaadhu, dhugii; ijaanis itti gammadiYoo nama tokko argites ‘Dhugumatti, ani Rahmaaniif eenyullee dubbisuu dhabuu qodhaa (nazrii) galeen jiraKanaaf hardha nama tokkos hin dubbisu” jedhi.",""
2277,19,27,"Ergasii isa baadhattee gara ummata ishee dhufte[Isaan] ni jedhan: “Yaa Maryam! Dhugumatti ati waan akkaan jabaatu fidde.",""
2278,19,28,"Yaa obboleettii Haaruun! Abbaan kee nama badaa hin turre; haati keetis sagaagaltuu hin turre.”",""
2279,19,29,"(Isiinis) gara isaatti akeekte[Isaan]: “Akkamitti daa’ima siree daa’imummaa keessa jiru dubbifna?” jedhan.",""
2280,19,30,"Innis (daa’imichis) ni jedhe: “Dhugumatti, ani gabricha RabbiitiInni kitaaba naaf kenneera; nabiyyiis na taasisee jira.",""
2281,19,31,"Iddoo ani jiru hundattis barakeeffamaa na taasisee jira; salaataafi zakaas hangan lubbuun jiru naaf dhaamee jira.",""
2282,19,32,"Haadha kiyyaafis tola oolaa (na godhe); of tuulaa hoonga’aas, ana hin taasifne.",""
2283,19,33,"Guyyaa ani dhaladhe, guyyaa ani du’uufi guyyaa ani kaafamuus nageenyi ana irra jira.”",""
2284,19,34,"Inni sun Iisaa ilma Maryami; inni jecha dhugaa kan isaan isa keessatti shakkan saniidha.",""
2285,19,35,"Rabbiif ilma taasifachuun hin maluInni qulqullaa’eYeroo dhimma tokko murteesse, wanti Inni jedhu “ta’i” jechuu qofa; innis yoosuu ta’a",""
2286,19,36,"(Iisaan) “Dhugumatti, Rabbiin Gooftaa kiyyaafi Gooftaa keessaniKanaaf Isa qofa gabbaraaSantu karaa qajeelaadha” jedhe.",""
2287,19,37,"Gareewwan (yahuudaafi nasaaraa) gidduu isaaniitti (waa’ee Iisaa irratti) wal dhaban; wal gayii guyyaa guddaa (Qiyaamaa) san keessatti warra kafaraniif adabbiin mirkanaa’eera!",""
2288,19,38,"(Kaafiroonni) guyyaa isaan Nutti dhufan, maaltu akkaan dhaga’oo argoo isaan taasise! Garuu hardha miidhaa raawwattoonni jallina ifaa ta’e keessa jiru.",""
2289,19,39,"Haala isaan daguu keessatti ta’aniin odoo isaan hin amanin yeroo dhimmichi murtaa’u, Guyyaa Gaabbii san isaan sodaachisi",""
2290,19,40,"Dhugumatti, Nuti Numatu dachiifi waan ishee irra jiru dhaala; garuma keenya deebifamus.",""
2291,19,41,"Kitaaba keessatti Ibraahiimis dubbadhuDhugumatti, inni nama akkaan dhugaa dubbataa, nabiyyii ture",""
2292,19,42,"Yeroo inni abbaa isaatiin “Yaa abbaa kiyya! Maaliif waan hin dhageenye, hin argineefi homaa sirraa deebisuu hin dandeenye gabbarta?” jedhe (dubbadhu)",""
2293,19,43,"“Yaa abbaa koo! Dhugumatti, ani beekumsa irraa wanti sitti hin dhufin natti dhufee jiraKanaafuu na hordofi; ani karaa sirraawaan si qajeelcha",""
2294,19,44,"Yaa abbaa koo! Sheyxaana hin gabbarin; dhugumatti sheyxaanni Rahmaan didaa ta’eera",""
2295,19,45,"Yaa abbaa koo! Dhugumatti, ani Rahmaan irraa adabbiin si tuqee, atis sheyxaanaaf jaalallee ta’uu keen sodaadha.”",""
2296,19,46,"(Abbaan isaas) “Yaa Ibraahiim! Ati gabbaramtoota kiyya jibbitaa? Yoo hin dhorgamne, dhugumatti ani dhagaaniin si tuma (si cafaqa)Yeroo dheeraaf ana irraa fagaadhu” jedhe",""
2297,19,47,"(Ibraahiimis) “Nageenyi sirra haa jiraatu! Ani Rabbii kiyyan araarama siif kadhaDhugumatti, Inni akkaan rahmata naaf godhaa ta’eera” jedhe",""
2298,19,48,"“Isiniifi wantoota isin Rabbiin alatti gabbartan irraan fagaadhaGooftaa kiyya qofan gabbarasGooftaa kiyya gabbaruu kootiin hoonga’aa ta’uu dhabuu koon abdadha.”",""
2299,19,49,"Yeroma inni isaaniifi waan isaan Rabbii gaditti gabbaran irraa fagaatu, Isihaaqiifi Ya’aquubiin isaaf kennineHunda isaaniis nabiyyii taasifne",""
2300,19,50,"Rahmata keenya irraas isaaniif kennineGaariin dubbatamuu (faaruu) ol fuudhamaas isaaniif goone.",""
2301,19,51,"Kitaaba (Qur’aana) keessatti (waa’ee) Muusaa dubbadhuDhugumatti, inni filatamaa ta’ee jira; ergamaa, nabiyyis ta’eera",""
